nemo,rut,rut_dv,razon_social,isin,tipo_entidad,norma,active_status
AAISA,77513781,77513781-9,ADM. AMERICANA DE INVERSIONES S.A.,CL0002765221,EMISOR,IFRS,active
AAPLCL,1344,1344-7,APPLE INC.,US0378331005,EMISOR,,active
ABC,96874030,96874030-K,ABC S.A.,CL0002950831,EMISOR,PROFORMA,active
AFPCAPITAL,98000000,98000000-1,A.F.P. CAPITAL S.A.,CL0000003096,EMISOR,PROFORMA,active
AGUAS-A,61808000,61808000-5,"AGUAS ANDINAS S.A., SERIE A",CL0000000035,EMISOR,IFRS,active
ALMENDRAL,94270000,94270000-8,ALMENDRAL S.A.,CLP0170E1065,EMISOR,IFRS,active
AMZNCL,1340,1340-4,AMAZON COM INC.,US0231351067,EMISOR,,active
ANDINA-B,91144000,91144000-8,EMBOTELLADORA ANDINA S.A. SERIE B,CLP3697S1034,EMISOR,PROFORMA,active
ANTARCHILE,96556310,96556310-5,ANTARCHILE S.A.,CLP0362E1386,EMISOR,IFRS,active
AZUL AZUL,76838140,76838140-2,AZUL AZUL S.A.,CL0000006172,EMISOR,IFRS,active
BCI,97006000,97006000-6,BANCO DE CREDITO E INVERSIONES,CLP321331116,BANCO,,active
BESALCO,92434000,92434000-2,BESALCO S.A.,CLP1663V1009,EMISOR,PROFORMA,active
BICE,85741000,85741000-9,BICECORP S.A.,CL0003054906,EMISOR,PROFORMA,active
BSANTANDER,97036000,97036000-K,BANCO SANTANDER-CHILE,CLP1506A1070,BANCO,,active
CAMANCHACA,93711000,93711000-6,CAMANCHACA S.A.,CL0001717116,EMISOR,PROFORMA,active
CAP,91297000,91297000-0,CAP S.A.,CLP256251073,EMISOR,PROFORMA,active
CAROZZI,76143636,76143636-8,CAROZZI S.A.,CL0000007949,EMISOR,IFRS,active
CCU,90413000,90413000-1,COMPANIA CERVECERIAS UNIDAS S.A.,CLP249051044,EMISOR,IFRS,active
CENCOMALLS,76433310,76433310-1,CENCOSUD SHOPPING S.A.,CL0002941178,EMISOR,IFRS,active
CENCOSUD,93834000,93834000-5,CENCOSUD S.A.,CL0000000100,EMISOR,PROFORMA,active
CFIBTGIPSA,10877,10877-4,"BTG PACT ETF ACC CHILENAS IPSA FI, UNICA",,EMISOR,,active
CFIGC,9948,9948-1,FI ETF SINGULAR GLOBAL CORPORATES,,EMISOR,,active
CFINASDAQ,10150,10150-8,FI ETF SINGULAR NASDAQ 100,CL0002706639,EMISOR,,active
CFMITNIPSA,9019,9019-0,FONDO MUTUO ETF IT NOW S&P IPSA,CL0002009646,EMISOR,,active
CGE,76411321,76411321-7,COMPA├ÉIA GENERAL DE ELECTRICIDAD S.A.,CLP306321066,EMISOR,IFRS,active
CGET,77465741,77465741-K,CGE TRANSMISION S.A.,CL0002786870,EMISOR,IFRS,active
CHILE,97004000,97004000-5,BANCO DE CHILE,CLP0939W1081,BANCO,,active
CINTAC,92544000,92544000-0,CINTAC S.A.,CLP2737N1082,EMISOR,PROFORMA,active
CMPC,90222000,90222000-3,EMPRESAS CMPC S.A.,CL0000001314,EMISOR,IFRS,active
COLBUN,96505760,96505760-9,COLBUN S.A.,CLP3615W1037,EMISOR,IFRS,active
COLO COLO,99589230,99589230-8,BLANCO Y NEGRO S.A.,CL0000001041,EMISOR,PROFORMA,active
CONCHATORO,90227000,90227000-0,VINA CONCHA Y TORO S.A.,CLP9796J1008,EMISOR,PROFORMA,active
COPEC,90690000,90690000-9,EMPRESAS COPEC S.A.,CLP7847L1080,EMISOR,IFRS,active
CRUZADOS,76072469,76072469-6,CRUZADOS S.A.D.P.,CL0000006743,EMISOR,IFRS,active
CTC,90635000,90635000-9,TELEFONICA CHILE S.A.,CLP3058U1199,EMISOR,IFRS,active
CUPRUM,76240079,76240079-0,A.F.P. CUPRUM S.A.,CLP009361070,EMISOR,IFRS,active
EBAYCL,1360,1360-9,EBAY INC.,US2786421030,EMISOR,,active
ECL,88006900,88006900-4,ENGIE ENERGIA CHILE S.A.,CL0001583070,EMISOR,PROFORMA,active
EISA,76005049,76005049-0,"ECHEVERRIA, IZQUIERDO S.A.",CL0001896498,EMISOR,IFRS,active
EMBONOR-B,93281000,93281000-K,"COCA-COLA EMBONOR S.A. SERIE ""B""",CLP3698K1338,EMISOR,IFRS,active
ENAEX,90266000,90266000-3,ENAEX S.A.,CLP3710P1022,EMISOR,PROFORMA,active
ENELAM,94271000,94271000-3,ENEL AMERICAS S.A.,CLP371861061,EMISOR,IFRS,active
ENELCHILE,76536353,76536353-5,ENEL CHILE S.A.,CL0002266774,EMISOR,IFRS,active
ENELGXCH,91081000,91081000-6,ENEL GENERACION CHILE S.A.,CLP3710M1090,EMISOR,IFRS,active
ENJOY,96970380,96970380-7,ENJOY S.A.,CL0000006586,EMISOR,IFRS,active
ENTEL,92580000,92580000-7,EMP. NACIONAL DE TELECOMUNICACIONES S.A.,CLP371151059,EMISOR,IFRS,active
ESVAL-C,76000739,76000739-0,"ESVAL S.A., SERIE C",CL0000002791,EMISOR,IFRS,active
FALABELLA,90749000,90749000-9,FALABELLA S.A.,CLP3880F1085,EMISOR,PROFORMA,active
FORUS,86963200,86963200-7,FORUS S.A.,CL0000002023,EMISOR,PROFORMA,active
FROWARD,96723320,96723320-K,PORTUARIA CABO FROWARD S.A.,CLP7909E1092,EMISOR,IFRS,active
GASCO,90310000,90310000-1,EMPRESAS GASCO S.A.,CLP3091H1096,EMISOR,IFRS,active
HABITAT,98000100,98000100-8,A.F.P. HABITAT S.A.,CLP009331040,EMISOR,PROFORMA,active
HIPERMARC,96621750,96621750-2,HIPERMARC S.A.,CL0000004060,EMISOR,IFRS,active
IAM,77274820,77274820-5,INVERSIONES AGUAS METROPOLITANAS S.A.,CL0000001256,EMISOR,IFRS,active
IANSA,91550000,91550000-5,EMPRESAS IANSA S.A.,CLP5380Y1074,EMISOR,PROFORMA,active
ILC,94139000,94139000-5,INVERSIONES LA CONSTRUCCION S.A.,CL0001892547,EMISOR,IFRS,active
