rut,group
77513781,cmf_emisor
1344,cmf_emisor
96874030,cmf_emisor
98000000,cmf_emisor
61808000,cmf_emisor
94270000,cmf_emisor
1340,cmf_emisor
91144000,cmf_emisor
96556310,cmf_emisor
76838140,cmf_emisor
97006000,cmf_banco
92434000,cmf_emisor
85741000,cmf_emisor
97036000,cmf_banco
93711000,cmf_emisor
91297000,cmf_emisor
76143636,cmf_emisor
90413000,cmf_emisor
76433310,cmf_emisor
93834000,cmf_emisor
10877,cmf_emisor
9948,cmf_emisor
10150,cmf_emisor
9019,cmf_emisor
76411321,cmf_emisor
77465741,cmf_emisor
97004000,cmf_banco
92544000,cmf_emisor
90222000,cmf_emisor
96505760,cmf_emisor
99589230,cmf_emisor
90227000,cmf_emisor
90690000,cmf_emisor
76072469,cmf_emisor
90635000,cmf_emisor
76240079,cmf_emisor
1360,cmf_emisor
88006900,cmf_emisor
76005049,cmf_emisor
93281000,cmf_emisor
90266000,cmf_emisor
94271000,cmf_emisor
76536353,cmf_emisor
91081000,cmf_emisor
96970380,cmf_emisor
92580000,cmf_emisor
76000739,cmf_emisor
90749000,cmf_emisor
86963200,cmf_emisor
96723320,cmf_emisor
90310000,cmf_emisor
98000100,cmf_emisor
96621750,cmf_emisor
77274820,cmf_emisor
91550000,cmf_emisor
94139000,cmf_emisor
92051000,cmf_emisor
76016541,cmf_emisor
96708470,cmf_emisor
97023000,cmf_banco
93930000,cmf_emisor
96928510,cmf_emisor
89862200,cmf_emisor
76017019,cmf_emisor
88745400,cmf_emisor
94660000,cmf_emisor
96802690,cmf_emisor
90412000,cmf_emisor
92770000,cmf_emisor
93628000,cmf_emisor
76609803,cmf_emisor
77726203,cmf_emisor
96532830,cmf_emisor
80326500,cmf_emisor
94627000,cmf_emisor
91553000,cmf_emisor
76488180,cmf_emisor
96504980,cmf_emisor
98001200,cmf_emisor
76165311,cmf_emisor
76265736,cmf_emisor
96561560,cmf_emisor
91705000,cmf_emisor
99579730,cmf_emisor
96885880,cmf_emisor
76065596,cmf_emisor
96766600,cmf_emisor
99598300,cmf_emisor
76196718,cmf_emisor
76012676,cmf_emisor
94840000,cmf_emisor
83628100,cmf_emisor
79768170,cmf_emisor
93007000,cmf_emisor
96542300,cmf_emisor
90160000,cmf_emisor
91041000,cmf_emisor
1400,cmf_emisor
76455830,cmf_emisor
70285500,cmf_emisor
