lei,name,country_code,n_filings,first_period_end,last_period_end,source,built_at
2138007MZQWFJBPCXA35,OLIDATA S.P.A.,it,2,2024-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
213800V41GEZTRIJT462,BIALETTI INDUSTRIE S.P.A.,it,4,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
213800VELZNZPB4AAD87,ITWAY S.P.A.,it,4,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
2221005IWV4R4EP4D553,D'AMICO INTERNATIONAL SHIPPING S.A.,it,3,2022-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA,it,4,2021-12-31,2022-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
391200MBZQNPFHIVKO34,BB Biotech AG,it,3,2021-12-31,2022-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
5299003D9N2698I3C257,AUTOGRILL S.P.A.,it,2,2021-12-31,2022-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
5299003DX5YLKSVJ6K59,BUZZI SPA,it,4,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
5299005KJSU2AQUJUH84,SARAS S.P.A. O IN FORMA ESTESA SARAS S.P.A. - RAFFINERIE SARDE,it,3,2021-12-31,2023-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
529900WS2E20BA5J4L49,EDISON S.P.A.,it,3,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
529900X0H1IO3RS1A464,PRYSMIAN S.P.A.,it,4,2022-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
529900X4EEX1U9LN3U39,LEONARDO - SOCIETA' PER AZIONI,it,8,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
529900XU5693SRXKDO71,Prysmian Group North Europe AB,it,2,2021-12-31,2021-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
5493000P70CQRQG8SN85,NEXI SPA,it,8,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
5493003CX2RZ0FOBH256,BRUNELLO CUCINELLI S.P.A.,it,5,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
5493003VOSQJSPCM0T38,CIR S.P.A. - COMPAGNIE INDUSTRIALI RIUNITE,it,3,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
5493005GRP0FEE3NRI35,SALVATORE FERRAGAMO S.P.A.,it,5,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
5493005HPJ40IY377O47,SOGEFI S.P.A.,it,5,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
549300BLWVJN2BAT0A44,BREMBO N.V.,it,7,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
549300L7YCATGO57ZE10,FINECOBANK BANCA FINECO S.P.A.,it,5,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
549300O7SBDSNG4IB582,IRCE S.P.A,it,5,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
549300PHV8MBDHWB8X12,Saipem S.P.A.,it,2,2021-12-31,2022-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
549300Q3448N041CTH56,ACEA S.P.A.,it,4,2022-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
549300R72LKEGT4EX026,LOTTOMATICA GROUP S.P.A.,it,6,2023-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
549300T1EREIRH8ICX03,ANIMA HOLDING S.P.A.,it,3,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI",it,10,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
549300UKR289DF4UXQ47,WEBUILD S.P.A.,it,4,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
549300W384M3RI3VXU42,TELECOM ITALIA SPA O TIM S.P.A.,it,3,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
549300X5UKJVE386ZB61,ASSICURAZIONI GENERALI SOCIETA' PER AZIONI,it,4,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
549300Y7C05BKC4HZB40,TENARIS S.A.,it,5,2021-12-31,2025-05-06,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
7LVZJ6XRIE7VNZ4UBX81,BANCA MEDIOLANUM SPA,it,5,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560001692D0424C949,SOMEC SPA,it,4,2022-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156000256C2431C2E92,PIAGGIO & C. S.P.A.,it,2,2024-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
815600049A1F9AFE6666,ARNOLDO MONDADORI EDITORE SPA,it,2,2024-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560005C031D4E76707,SESA S.P.A.,it,2,2022-04-30,2022-04-30,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560009D520343E0A68,SIT S.P.A.,it,4,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560009EA1577917768,PHILOGEN S.P.A.,it,2,2024-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156000B22320A2F5365,BEGHELLI S.P.A.,it,2,2022-12-31,2023-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156000BA1E707067579,CAIRO COMMUNICATION S.P.A.,it,7,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156000DFBA84513F952,ALKEMY S.P.A.,it,3,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156000E09A52C4F8A38,DE' LONGHI S.P.A.,it,4,2024-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
815600110244AC18B089,CALTAGIRONE SOCIETA' PER AZIONI,it,3,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
815600115DA6E507AE33,CAREL INDUSTRIES S.P.A.,it,5,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560012F663E89E7085,EL.EN. - S.P.A.,it,5,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560013C60D757C6523,GREENTHESIS S.P.A.,it,3,2021-12-31,2023-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560013EACB40B52D17,GVS S.P.A.,it,7,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560015D3D3E34A6B66,DEA CAPITAL SPA,it,1,2021-12-31,2021-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560017CF8066680595,TAMBURI INVESTMENT PARTNERS S.P.A. IN VIA BREVE T.I.P. S.P.A. OV VERO TIP S.P.A.,it,2,2024-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156001895E0F4E7A803,ORSERO S.P.A.,it,4,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156001A772766DCAA71,OVS SPA,it,4,2022-01-31,2025-01-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156001EBD33FD474E60,IREN S.P.A.,it,2,2024-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156001F4745B0CB0760,ZEST SOCIETA' PER AZIONI,it,2,2024-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156002278562044AF79,SNAM S.P.A.,it,7,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560022EE962F731A95,CLASS EDITORI S.P.A.,it,3,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
815600251190FB2E7172,ITALIAN WINE BRANDS S.P.A. O IN FORMA ABBREVIATA IWB SPA,it,2,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560025690EF8540635,AZIMUT HOLDING S.P.A.,it,5,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560026D234790EB288,BANCO DI DESIO E DELLA BRIANZA SOCIETA' PER AZIONI,it,2,2024-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560026FA1A26642782,SAFILO GROUP S.P.A.,it,6,2023-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560026FB4FD48C6110,FIERA MILANO S.P.A.,it,6,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560028375CEF68C972,"EXPRIVIA S.P.A. IN FORMA ALTERNATIVA: AIS S.P.A., AISOFTW@RE S.P. A., ARTIFICIAL INTELLIGENCE SOFTWARE S.P.A.",it,5,2021-12-31,2023-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156002878BDF0EE4348,DIASORIN S.P.A.,it,4,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560029E2CE4D14F425,"""CASSA DEPOSITI E PRESTITI SOCIETA' PER AZIONI"" (DENOMINATA ANCHE : ""CDP S.P.A.)",it,6,2023-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156002B06C3A4C0F436,ENERVIT S.P.A.,it,4,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156002BC7CB6E3BD403,PIERREL S.P.A.,it,1,2021-12-31,2021-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156002CEF151B2FAE86,MONDO TV S.P.A.,it,3,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156002ED0F23DC0D147,"""RATTI S.P.A. SOCIETA' BENEFIT"" O IN FORMA ABBREVIATA ""RATTI S.P.A. SB""",it,3,2021-12-31,2023-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156002FE7E41A35C731,BE SHAPING THE FUTURE S.P.A.,it,1,2021-12-31,2021-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156002FF3087F1D0E94,INDEL B S.P.A.,it,4,2022-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
815600320CCB55749A30,GPI S.P.A.,it,3,2022-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
815600354DEDBD0BA991,POSTE ITALIANE - SOCIETA' PER AZIONI,it,7,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560035783FD9E2E641,SAES GETTERS S.P.A.,it,1,2023-12-31,2023-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560036DCCA48CA0F08,S.S. LAZIO - S.P.A.,it,3,2024-06-30,2025-06-30,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560036F9C346EA6D15,MET.EXTRA GROUP S.P.A.,it,1,2024-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560039520A59BAAB20,SERI INDUSTRIAL S.P.A.,it,2,2024-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156004110BB8D445B46,BRIOSCHI SVILUPPO IMMOBILIARE S.P.A.,it,3,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560042E27150979C13,UNIDATA S.P.A.,it,2,2023-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560044F0823D572303,TXT E-SOLUTIONS S.P.A.,it,3,2021-12-31,2023-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156004604684CA44A90,ERG S.P.A.,it,4,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
