ticker,cik,company_name,country,source,active_status
AAPL,0000320193,Apple Inc.,US,SEC_EDGAR,listed
ABBV,0001551152,AbbVie Inc.,US,SEC_EDGAR,listed
ADBE,0000796343,ADOBE INC.,US,SEC_EDGAR,listed
ADI,0000006281,ANALOG DEVICES INC,US,SEC_EDGAR,listed
ADSK,0000769397,"Autodesk, Inc.",US,SEC_EDGAR,listed
AEP,0000004904,AMERICAN ELECTRIC POWER CO INC,US,SEC_EDGAR,listed
AMAT,0000006951,APPLIED MATERIALS INC /DE,US,SEC_EDGAR,listed
AMD,0000002488,ADVANCED MICRO DEVICES INC,US,SEC_EDGAR,listed
AMGN,0000318154,AMGEN INC,US,SEC_EDGAR,listed
AMZN,0001018724,AMAZON COM INC,US,SEC_EDGAR,listed
ASML,0000937966,ASML HOLDING NV,US,SEC_EDGAR,listed
AVGO,0001730168,Broadcom Inc.,US,SEC_EDGAR,listed
AXP,0000004962,AMERICAN EXPRESS CO,US,SEC_EDGAR,listed
BA,0000012927,BOEING CO,US,SEC_EDGAR,listed
BAC,0000070858,BANK OF AMERICA CORP /DE/,US,SEC_EDGAR,listed
BIIB,0000875045,BIOGEN INC.,US,SEC_EDGAR,listed
BLK,0002012383,"BlackRock, Inc.",US,SEC_EDGAR,listed
BMY,0000014272,BRISTOL MYERS SQUIBB CO,US,SEC_EDGAR,listed
C,0000831001,CITIGROUP INC,US,SEC_EDGAR,listed
CAT,0000018230,CATERPILLAR INC,US,SEC_EDGAR,listed
CHTR,0001091667,"CHARTER COMMUNICATIONS, INC. /MO/",US,SEC_EDGAR,listed
CL,0000021665,COLGATE PALMOLIVE CO,US,SEC_EDGAR,listed
CMCSA,0001166691,COMCAST CORP,US,SEC_EDGAR,listed
COF,0000927628,CAPITAL ONE FINANCIAL CORP,US,SEC_EDGAR,listed
COP,0001163165,CONOCOPHILLIPS,US,SEC_EDGAR,listed
COST,0000909832,COSTCO WHOLESALE CORP /NEW,US,SEC_EDGAR,listed
CRM,0001108524,"Salesforce, Inc.",US,SEC_EDGAR,listed
CRWD,0001535527,"CrowdStrike Holdings, Inc.",US,SEC_EDGAR,listed
CSCO,0000858877,"CISCO SYSTEMS, INC.",US,SEC_EDGAR,listed
CSX,0000277948,CSX CORP,US,SEC_EDGAR,listed
CVX,0000093410,CHEVRON CORP,US,SEC_EDGAR,listed
DDOG,0001561550,"Datadog, Inc.",US,SEC_EDGAR,listed
DE,0000315189,DEERE & CO,US,SEC_EDGAR,listed
DFS,0001393612,DISCOVER FINANCIAL SERVICES,US,SEC_EDGAR,delisted
DUK,0001326160,Duke Energy CORP,US,SEC_EDGAR,listed
EL,0001001250,ESTEE LAUDER COMPANIES INC,US,SEC_EDGAR,listed
EOG,0000821189,EOG RESOURCES INC,US,SEC_EDGAR,listed
F,0000037996,FORD MOTOR CO,US,SEC_EDGAR,listed
FDX,0001048911,FEDEX CORP,US,SEC_EDGAR,listed
GD,0000040533,GENERAL DYNAMICS CORP,US,SEC_EDGAR,listed
GE,0000040545,GENERAL ELECTRIC CO,US,SEC_EDGAR,listed
GILD,0000882095,"GILEAD SCIENCES, INC.",US,SEC_EDGAR,listed
GM,0001467858,General Motors Co,US,SEC_EDGAR,listed
GOOGL,0001652044,Alphabet Inc.,US,SEC_EDGAR,listed
GS,0000886982,GOLDMAN SACHS GROUP INC,US,SEC_EDGAR,listed
HD,0000354950,"HOME DEPOT, INC.",US,SEC_EDGAR,listed
HMC,0000715153,HONDA MOTOR CO LTD,US,SEC_EDGAR,listed
HON,0000773840,HONEYWELL INTERNATIONAL INC,US,SEC_EDGAR,listed
HWM,0000004281,Howmet Aerospace Inc.,US,SEC_EDGAR,listed
IBM,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,US,SEC_EDGAR,listed
INTC,0000050863,INTEL CORP,US,SEC_EDGAR,listed
INTU,0000896878,INTUIT INC.,US,SEC_EDGAR,listed
ISRG,0001035267,INTUITIVE SURGICAL INC,US,SEC_EDGAR,listed
ITW,0000049826,ILLINOIS TOOL WORKS INC,US,SEC_EDGAR,listed
JNJ,0000200406,JOHNSON & JOHNSON,US,SEC_EDGAR,listed
JPM,0000019617,JPMORGAN CHASE & CO,US,SEC_EDGAR,listed
KLAC,0000319201,KLA CORP,US,SEC_EDGAR,listed
KO,0000021344,COCA COLA CO,US,SEC_EDGAR,listed
LHX,0000202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",US,SEC_EDGAR,listed
LLY,0000059478,ELI LILLY & Co,US,SEC_EDGAR,listed
LMT,0000936468,LOCKHEED MARTIN CORP,US,SEC_EDGAR,listed
LOW,0000060667,LOWES COMPANIES INC,US,SEC_EDGAR,listed
LRCX,0000707549,LAM RESEARCH CORP,US,SEC_EDGAR,listed
MA,0001141391,Mastercard Inc,US,SEC_EDGAR,listed
MCD,0000063908,MCDONALDS CORP,US,SEC_EDGAR,listed
META,0001326801,"Meta Platforms, Inc.",US,SEC_EDGAR,listed
MMM,0000066740,3M CO,US,SEC_EDGAR,listed
MPC,0001510295,Marathon Petroleum Corp,US,SEC_EDGAR,listed
MRK,0000310158,"Merck & Co., Inc.",US,SEC_EDGAR,listed
MRNA,0001682852,"Moderna, Inc.",US,SEC_EDGAR,listed
MRVL,0001835632,"Marvell Technology, Inc.",US,SEC_EDGAR,listed
MS,0000895421,MORGAN STANLEY,US,SEC_EDGAR,listed
MSCI,0001408198,MSCI Inc.,US,SEC_EDGAR,listed
MSFT,0000789019,MICROSOFT CORP,US,SEC_EDGAR,listed
MU,0000723125,MICRON TECHNOLOGY INC,US,SEC_EDGAR,listed
NEE,0000753308,NEXTERA ENERGY INC,US,SEC_EDGAR,listed
NET,0001477333,"Cloudflare, Inc.",US,SEC_EDGAR,listed
NFLX,0001065280,NETFLIX INC,US,SEC_EDGAR,listed
